lat,lon,name,info
51.507944952238375,-0.12331478774130705,Gordon's Wine Bar,Embankment
51.59376057938819,-0.10812281520147243,Sports Direct,Wood Green
51.57582734702421,-0.0975330133398846,Sports Direct,Green Lanes Arena
51.46305837465495,-0.11253854553465426,Sports Direct,Brixton
51.51599580117969,-0.1379308013380929,Sports Direct,Oxford Street
51.46870908288506,-0.3614430111813049,Sports Direct,Hounslow High Street
51.454880241893804,-0.1924153588861451,Sports Direct,Wandsworth
51.521105733441345,-0.05863911630984769,Sainsbury's,Whitechapel
51.49470148232695,-0.09768275012093282,Sainsbury's,Elephant and Castle
51.547457083283334,-0.07329763222825805,Sainsbury's,Dalston
0,0,Sainsbury's,Ladbroke Grove
51.54048025149749,-0.14086768840578182,Sainsbury's,Camden
51.43006999442246,-0.033389085119307355,Sainsbury's,Sydenham
51.51567724650606,-0.13774780629183928,Flannels,Oxford Street
51.40888922220088,-0.30319609461667724,Budgens,Kingston Upon Thames
0,0,Costcutter,Brixton
51.56995469236456,0.12216517858566192,Home Bargains,Grove Farm Retail Park
51.5062926360048,-0.23806567630721356,Co-op,Shepherds Bush
51.41155492455469,0.13247190588219127,Ruxley Manor Garden Centre,Orpington
51.37379336645468,-0.10436651099232609,Freshfields Market,Croydon
